City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
577,Phanom Thuan,TH,82.99,broken clouds,14.1303,99.6986,อาคารหน้า สภ.พนมทวน
580,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
581,Santa Clara,CU,87.8,few clouds,22.4,-79.9667,El Carmen
585,Tsabong,BW,75.83,broken clouds,-26.0217,22.401,Springbok Motel
592,Ocala,US,75.2,scattered clouds,29.1872,-82.1401,Golden Palms Inn & Suites
594,Sao Miguel Do Araguaia,BR,80.08,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
596,Gonzales,US,77.0,scattered clouds,30.2385,-90.9201,Hampton Inn Gonzales
598,Manggar,ID,79.54,overcast clouds,-2.8833,108.2667,Guest Hotel
603,Lar,IN,83.91,overcast clouds,26.2039,83.9717,Ovaiskarni ward Lar
608,Isla Mujeres,MX,87.8,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
610,Miramar,US,86.0,scattered clouds,25.9873,-80.2323,Miramar
612,Gigmoto,PH,79.61,overcast clouds,13.7796,124.39,Cj's Travellers Inn
613,Lampang,TH,81.0,broken clouds,18.3333,99.5,Mrs Luis Guest House
623,Ibra,OM,76.15,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
624,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
626,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
630,Kalmunai,LK,77.38,overcast clouds,7.4167,81.8167,VS Villa
631,Porto Nacional,BR,84.2,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
633,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
634,Kota Tinggi,MY,77.0,few clouds,1.7381,103.8999,Canopy Tribe
641,Haldibari,IN,77.49,broken clouds,26.3333,88.7667,Rahul and Debika
643,Ailigandi,PA,80.4,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
644,Piacabucu,BR,76.5,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
647,Eirunepe,BR,78.55,broken clouds,-6.6603,-69.8736,Atrás de você
651,Mabaruma,GY,78.51,broken clouds,8.2,-59.7833,Monty Brooms Guest House
661,Phuket,TH,84.99,few clouds,8.0,98.25,The Surin Phuket
664,Roebourne,AU,78.24,clear sky,-20.7833,117.1333,Harding River Caravan Park
681,Balabac,PH,80.06,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
691,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
695,Samarai,PG,80.04,overcast clouds,-10.6167,150.6667,Nuli Sapi
698,Bilma,NE,85.28,clear sky,18.6853,12.9164,Expeditions Ténére voyages
700,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
702,Porto Novo,BJ,84.2,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
704,Kavaratti,IN,83.71,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
708,Teahupoo,PF,87.8,light rain,-17.8333,-149.2667,Vanira Lodge
709,Fomboni,KM,82.4,broken clouds,-12.28,43.7425,Relais Singani
