City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
266,Kushmurun,52.4503,64.6311,47.43,48,0,3.33,KZ,clear sky
267,Nizhniy Kuranakh,58.8353,125.4869,23.25,81,60,7.07,RU,broken clouds
268,Ipixuna,-1.7625,-48.8043,80.6,78,75,9.22,BR,light rain
269,Zhigalovo,54.8097,105.1578,23.07,95,91,4.07,RU,overcast clouds
270,Nianzishan,47.5167,122.8833,40.55,89,100,11.56,CN,overcast clouds
271,Sorland,67.667,12.6934,41.11,92,75,15.93,NO,broken clouds
272,Kaduqli,11.0167,29.7167,82.27,10,17,6.31,SD,few clouds
273,Ossora,59.2353,163.0719,32.72,99,100,2.62,RU,light snow
274,Sarangani,5.4033,125.4636,81.57,79,100,10.63,PH,overcast clouds
275,Sabha,27.0377,14.4283,82.44,13,75,12.73,LY,broken clouds
276,Yumbe,3.4651,31.2469,66.36,91,100,4.23,UG,overcast clouds
277,Leningradskiy,69.3833,178.4167,26.02,83,100,9.86,RU,overcast clouds
278,East London,-33.0153,27.9116,66.58,61,100,21.65,ZA,overcast clouds
279,Brae,60.3964,-1.353,42.8,75,20,11.5,GB,few clouds
280,Mahibadhoo,3.7833,72.9667,82.94,72,81,11.25,MV,broken clouds
281,Madimba,-10.4,40.3333,73.4,100,40,11.5,TZ,light rain
282,Kerman,30.2832,57.0788,50.0,62,0,4.61,IR,clear sky
283,Nanortalik,60.1432,-45.2371,26.49,75,19,42.77,GL,few clouds
284,Lulea,65.5842,22.1547,37.4,70,7,4.61,SE,clear sky
285,Santa Maria Del Oro,25.9333,-105.3667,88.48,4,5,22.82,MX,clear sky
286,Soria,41.6667,-2.6667,39.0,58,23,14.0,ES,few clouds
287,Bogotol,56.2078,89.5342,37.8,94,100,13.53,RU,overcast clouds
288,Lorengau,-2.0226,147.2712,82.08,76,100,4.29,PG,overcast clouds
289,Progreso,21.2833,-89.6667,102.2,25,75,13.85,MX,broken clouds
290,Gold Coast,-28.0,153.4333,70.0,82,3,3.69,AU,clear sky
291,Dingle,10.9995,122.6711,76.44,89,100,5.17,PH,heavy intensity rain
292,Zakamensk,50.3741,103.2863,19.18,75,40,3.27,RU,scattered clouds
293,Capreol,46.706,-80.9225,41.0,81,90,14.97,CA,overcast clouds
294,Mackay,-21.15,149.2,70.0,94,2,4.61,AU,clear sky
295,Capaci,38.1711,13.2393,55.4,88,90,8.05,IT,drizzle
296,Kem,64.9555,34.5793,33.51,89,5,8.23,RU,clear sky
297,Shahreza,32.0339,51.8794,59.79,28,42,3.24,IR,scattered clouds
298,La Plata,-34.9215,-57.9545,71.01,79,1,2.53,AR,clear sky
299,Shitanjing,39.2342,106.3439,39.78,18,12,22.48,CN,few clouds
300,Korla,41.7597,86.1469,56.12,26,93,10.51,CN,overcast clouds
301,Tete,-16.1564,33.5867,73.0,83,0,3.44,MZ,clear sky
302,Blackfoot,43.1905,-112.345,45.0,61,100,7.0,US,overcast clouds
303,Nanakuli,21.3906,-158.1547,80.6,54,1,9.22,US,clear sky
304,Domoni,-12.2569,44.5319,79.3,84,54,3.89,KM,broken clouds
305,Lubango,-14.9172,13.4925,59.97,71,60,4.07,AO,broken clouds
306,College,64.8569,-147.8028,48.2,37,40,0.18,US,scattered clouds
307,Port Hardy,50.6996,-127.4199,55.4,58,1,4.61,CA,clear sky
308,Gorontalo,0.5412,123.0595,73.51,93,100,1.92,ID,overcast clouds
309,Starodzhereliyevskaya,45.476,38.2968,50.0,83,58,5.3,RU,broken clouds
310,Mandiana,10.6333,-8.6833,90.7,26,55,4.56,GN,broken clouds
311,Taywarah,33.35,64.4167,44.33,44,97,4.56,AF,overcast clouds
312,Cidreira,-30.1811,-50.2056,72.34,75,99,12.59,BR,light rain
313,Sinnamary,5.3833,-52.95,78.55,85,95,14.45,GF,light rain
314,Esmeralda,21.8525,-78.1169,89.6,40,20,17.27,CU,few clouds
315,Amahai,-3.3333,128.9167,78.01,92,100,2.28,ID,overcast clouds
