City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Comodoro Rivadavia,AR,2021-04-14 23:38:26,-45.8667,-67.5,60.8,67,0,2.3
174,Sable-Sur-Sarthe,FR,2021-04-14 23:34:32,47.8376,-0.3329,41.0,56,0,6.91
175,Pisco,PE,2021-04-14 23:38:27,-13.7,-76.2167,68.0,77,0,13.8
176,Guhagar,IN,2021-04-14 23:34:32,17.4842,73.1929,78.64,70,0,2.59
177,Necochea,AR,2021-04-14 23:34:32,-38.5473,-58.7368,62.01,79,0,5.01
178,Eyl,SO,2021-04-14 23:34:32,7.9803,49.8164,79.34,73,43,6.02
179,Paamiut,GL,2021-04-14 23:38:27,61.994,-49.6678,25.43,80,85,26.69
180,Mahebourg,MU,2021-04-14 23:36:37,-20.4081,57.7,78.8,83,40,11.5
181,Isangel,VU,2021-04-14 23:38:27,-19.55,169.2667,85.23,65,20,2.35
182,Ewa Beach,US,2021-04-14 23:28:28,21.3156,-158.0072,82.4,44,75,8.05
183,Paka,MY,2021-04-14 23:29:57,4.6374,103.4368,73.0,100,20,3.04
184,Tateyama,JP,2021-04-14 23:34:33,34.9833,139.8667,52.0,50,75,21.85
185,Bubaque,GW,2021-04-14 23:31:03,11.2833,-15.8333,77.61,78,6,15.1
186,Port Alfred,ZA,2021-04-14 23:36:07,-33.5906,26.891,67.3,81,82,6.44
187,Najran,SA,2021-04-14 23:34:33,17.4924,44.1277,77.0,29,0,0.63
188,Qaanaaq,GL,2021-04-14 23:38:28,77.484,-69.3632,-11.2,67,0,6.06
189,Sovetskoye,RU,2021-04-14 23:34:34,52.2861,85.4131,33.19,92,99,2.37
190,Kichha,IN,2021-04-14 23:34:34,28.9167,79.5,74.89,20,10,4.61
191,Seddon,AU,2021-04-14 23:34:34,-37.8068,144.8916,64.0,51,90,12.66
192,Goya,AR,2021-04-14 23:30:52,-29.14,-59.2626,70.66,69,48,4.23
193,Mount Pleasant,US,2021-04-14 23:34:35,32.7941,-79.8626,72.0,83,1,6.91
194,Kahului,US,2021-04-14 23:38:29,20.8947,-156.47,80.6,50,40,18.41
195,Fairbanks,US,2021-04-14 23:29:14,64.8378,-147.7164,48.2,40,90,9.22
196,Belawan,ID,2021-04-14 23:34:35,3.7755,98.6832,75.2,100,40,2.95
197,Port Elizabeth,ZA,2021-04-14 23:38:29,-33.918,25.5701,59.0,100,20,4.61
198,Omboue,GA,2021-04-14 23:34:35,-1.5746,9.2618,76.39,91,100,2.37
199,Kudahuvadhoo,MV,2021-04-14 23:34:36,2.6708,72.8944,82.44,65,63,9.33
200,Zunyi,CN,2021-04-14 23:34:36,27.6867,106.9072,55.04,94,87,2.93
201,Tomatlan,MX,2021-04-14 23:38:29,19.9333,-105.25,84.47,41,4,9.1
202,Keta,GH,2021-04-14 23:31:01,5.9179,0.9879,84.2,84,40,6.91
203,Srednekolymsk,RU,2021-04-14 23:30:11,67.45,153.6833,12.9,71,18,5.35
